airline_enc,destination_enc,stops_num,departure_hour,day_of_week,month,day,price
8,5,0,21,6,2,22,509.0
30,5,0,21,6,2,22,534.0
15,5,0,13,6,2,22,537.0
1,5,1,16,6,2,22,480.0
29,5,1,11,6,2,22,508.0
8,5,1,20,6,2,22,508.0
24,5,0,18,6,2,22,553.0
8,5,0,2,6,2,22,585.0
8,5,0,9,6,2,22,585.0
0,5,0,4,6,2,22,633.0
24,5,0,14,6,2,22,684.0
0,5,0,2,6,2,22,733.0
0,5,0,14,6,2,22,910.0
30,5,0,9,6,2,22,1110.0
15,5,0,13,0,2,23,499.0
8,5,0,21,0,2,23,503.0
24,5,0,18,0,2,23,523.0
30,5,0,17,0,2,23,529.0
0,5,0,4,0,2,23,669.0
1,5,1,16,0,2,23,442.0
8,5,0,9,0,2,23,616.0
20,5,1,19,0,2,23,630.0
0,5,0,2,0,2,23,681.0
0,5,0,14,0,2,23,710.0
30,5,0,9,0,2,23,725.0
8,5,0,2,0,2,23,1056.0
24,5,3,18,0,2,23,5174.0
15,5,0,13,1,2,24,499.0
24,5,0,18,1,2,24,507.0
30,5,0,9,1,2,24,534.0
8,5,0,2,1,2,24,585.0
18,5,1,4,1,2,24,451.0
29,5,1,11,1,2,24,508.0
8,5,1,20,1,2,24,508.0
8,5,1,20,1,2,24,534.0
8,5,0,21,1,2,24,585.0
20,5,1,11,1,2,24,694.0
30,5,0,17,1,2,24,707.0
24,5,0,14,1,2,24,786.0
0,5,0,4,1,2,24,788.0
0,5,0,14,1,2,24,809.0
8,5,0,9,1,2,24,828.0
0,5,0,2,1,2,24,844.0
24,5,3,7,1,2,24,4681.0
24,5,0,18,2,2,25,457.0
15,5,0,13,2,2,25,499.0
8,5,1,20,2,2,25,509.0
30,5,0,21,2,2,25,534.0
8,5,0,9,2,2,25,585.0
18,5,1,4,2,2,25,428.0
1,5,1,9,2,2,25,486.0
24,5,0,14,2,2,25,533.0
8,5,0,2,2,2,25,585.0
8,5,0,21,2,2,25,585.0
20,5,1,11,2,2,25,633.0
0,5,0,4,2,2,25,666.0
0,5,0,2,2,2,25,669.0
30,5,0,9,2,2,25,716.0
30,5,0,23,2,2,25,716.0
24,5,0,18,3,2,26,477.0
8,5,1,20,3,2,26,478.0
8,5,0,9,3,2,26,503.0
15,5,0,13,3,2,26,538.0
18,5,1,4,3,2,26,415.0
8,5,0,21,3,2,26,503.0
29,5,1,11,3,2,26,517.0
8,5,0,2,3,2,26,593.0
20,5,1,10,3,2,26,610.0
0,5,0,14,3,2,26,705.0
30,5,0,17,3,2,26,711.0
30,5,0,1,3,2,26,716.0
30,5,0,9,3,2,26,716.0
0,5,0,2,3,2,26,746.0
0,5,0,4,3,2,26,767.0
24,5,3,7,3,2,26,5141.0
24,5,0,14,4,2,27,477.0
15,5,0,13,4,2,27,499.0
8,5,0,21,4,2,27,616.0
18,5,1,4,4,2,27,415.0
24,5,0,18,4,2,27,533.0
8,5,1,20,4,2,27,579.0
0,5,0,4,4,2,27,593.0
0,5,0,14,4,2,27,634.0
30,5,0,17,4,2,27,635.0
8,5,0,2,4,2,27,680.0
8,5,0,9,4,2,27,680.0
0,5,0,2,4,2,27,707.0
30,5,0,9,4,2,27,716.0
24,5,0,18,5,2,28,477.0
15,5,0,13,5,2,28,499.0
30,5,0,21,5,2,28,509.0
1,5,1,16,5,2,28,419.0
18,5,1,4,5,2,28,433.0
8,5,1,20,5,2,28,508.0
20,5,1,10,5,2,28,630.0
0,5,0,4,5,2,28,666.0
8,5,0,2,5,2,28,686.0
8,5,0,9,5,2,28,686.0
8,5,0,21,5,2,28,686.0
0,5,0,14,5,2,28,707.0
30,5,0,9,5,2,28,716.0
30,5,0,17,5,2,28,716.0
0,5,0,2,5,2,28,766.0
16,5,3,16,5,2,28,4299.0
15,5,0,13,6,3,1,439.0
24,5,0,18,6,3,1,445.0
0,5,0,4,6,3,1,519.0
1,5,1,16,6,3,1,394.0
24,5,0,14,6,3,1,497.0
8,5,1,20,6,3,1,508.0
0,5,0,14,6,3,1,617.0
30,5,0,21,6,3,1,675.0
8,5,0,2,6,3,1,686.0
8,5,0,9,6,3,1,686.0
8,5,0,21,6,3,1,686.0
30,5,0,9,6,3,1,716.0
30,5,0,17,6,3,1,725.0
15,5,0,13,0,3,2,421.0
24,5,0,18,0,3,2,421.0
30,5,0,21,0,3,2,503.0
0,5,0,2,0,3,2,543.0
8,5,0,21,0,3,2,616.0
1,5,1,16,0,3,2,369.0
1,5,1,16,0,3,2,464.0
8,5,0,2,0,3,2,680.0
8,5,0,9,0,3,2,680.0
