origin,destination,date,airline,departure_time,arrival_time,duration,stops,price
Colombo,Dubai,2026-02-22,Emirates,"9:50 PM
 – 
12:50 AM+1",9:50 PM,,Nonstop,$509
Colombo,Dubai,2026-02-22,flydubaiEmirates,"9:10 PM
 – 
12:45 AM+1",9:10 PM,,Nonstop,$534
Colombo,Dubai,2026-02-22,FitsAir,"1:20 PM
 – 
4:45 PM",1:20 PM,,Nonstop,$537
Colombo,Dubai,2026-02-22,Air India,"4:00 PM
 – 
5:55 PM+1",4:00 PM,,1 stop,$480
Colombo,Dubai,2026-02-22,"flydubai, Emirates","11:15 AM
 – 
9:30 PM",11:15 AM,,1 stop,$508
Colombo,Dubai,2026-02-22,Emirates,"8:15 PM
 – 
12:20 PM+1",8:15 PM,,1 stop,$508
Colombo,Dubai,2026-02-22,SriLankan,"6:40 PM
 – 
9:50 PM",6:40 PM,,Nonstop,$553
Colombo,Dubai,2026-02-22,Emirates,"2:40 AM
 – 
5:45 AM",2:40 AM,,Nonstop,$585
Colombo,Dubai,2026-02-22,Emirates,"9:55 AM
 – 
12:55 PM",9:55 AM,,Nonstop,$585
Colombo,Dubai,2026-02-22,Air Arabia,"4:45 AM
 – 
7:55 AM",4:45 AM,,Nonstop,$633
Colombo,Dubai,2026-02-22,SriLankan,"2:00 PM
 – 
5:10 PM",2:00 PM,,Nonstop,$684
Colombo,Dubai,2026-02-22,Air Arabia,"2:50 AM
 – 
6:00 AM",2:50 AM,,Nonstop,$733
Colombo,Dubai,2026-02-22,Air Arabia,"2:45 PM
 – 
5:55 PM",2:45 PM,,Nonstop,$910
Colombo,Dubai,2026-02-22,flydubaiEmirates,"9:15 AM
 – 
12:50 PM",9:15 AM,,Nonstop,"$1,110"
Colombo,Dubai,2026-02-23,FitsAir,"1:20 PM
 – 
4:45 PM",1:20 PM,,Nonstop,$499
Colombo,Dubai,2026-02-23,Emirates,"9:50 PM
 – 
12:50 AM+1",9:50 PM,,Nonstop,$503
